company,city,owner_first_name,owner_role,linkedin_search,google_business_url,review_count_est,closing_hours,emergency_callout,dm_hook
"AAA-Brite Air Conditioning","Tampa","Brian","Owner","https://www.linkedin.com/search/results/people/?keywords=AAA-Brite Air Conditioning Tampa","https://www.google.com/search?q=AAA-Brite+Air+Conditioning+Tampa","65","5 PM weekdays","Yes — 24/7 advertised but voicemail at night","65 5-star reviews · 24/7 promise but voicemail after 6pm = the gap"
"Air Around the Clock","Tampa","Mike","Owner","https://www.linkedin.com/search/results/people/?keywords=Air Around the Clock Tampa","https://www.google.com/search?q=Air+Around+The+Clock+HVAC+Tampa","240","Name says 24/7","Voicemail confirmed after-hours","Brand promises 24/7 — auditing the call answer rate at 11pm is the deck-opener"
"Ace Solves It All","St. Petersburg","Adam","President","https://www.linkedin.com/search/results/people/?keywords=Ace Solves It All St Petersburg","https://www.google.com/search?q=Ace+Solves+It+All+St+Petersburg","330","5:30 PM","After-hours pages dispatch","High review count means high call volume — high after-hours leak"
"Acree Plumbing & Air","Tampa","Jason","Owner","https://www.linkedin.com/search/results/people/?keywords=Acree Plumbing Air Tampa","https://www.google.com/search?q=Acree+Plumbing+Air+Tampa","510","5 PM","Voicemail","510 reviews → if 1% miss-call rate that's $14K/mo at $400 ticket"
"AC Designs Inc","Sarasota","Scott","Owner","https://www.linkedin.com/search/results/people/?keywords=AC Designs Sarasota","https://www.google.com/search?q=AC+Designs+Inc+Sarasota","180","5 PM weekdays Sat 9-3","Voicemail Sun + after 5pm","Saturday partial + Sunday gap = ~30% of calendar"
"All American Heating & Cooling","Brandon","Tony","Owner","https://www.linkedin.com/search/results/people/?keywords=All American Heating Cooling Brandon FL","https://www.google.com/search?q=All+American+Heating+Cooling+Brandon+FL","95","6 PM","After-hours emergency line","Mid-size operator — perfect free-build profile"
"Bay Area Air Conditioning","Clearwater","Mark","Owner","https://www.linkedin.com/search/results/people/?keywords=Bay Area Air Conditioning Clearwater","https://www.google.com/search?q=Bay+Area+Air+Conditioning+Clearwater","410","5 PM","Voicemail","410 reviews · 5 PM close = peak after-hours leak"
"Cool Today","Sarasota","Roman","CEO","https://www.linkedin.com/search/results/people/?keywords=Cool Today Sarasota CEO","https://www.google.com/search?q=Cool+Today+Sarasota","2100","24/7 advertised","Live agents claimed","Big player — pitch as the secondary capture layer for overflow"
"East Coast Mechanical","Tampa","Jim","Owner","https://www.linkedin.com/search/results/people/?keywords=East Coast Mechanical Tampa HVAC","https://www.google.com/search?q=East+Coast+Mechanical+Tampa+HVAC","75","5 PM weekdays","Voicemail","Sub-100 reviews · perfect size for free build"
"Greenleaf Air","Wesley Chapel","Travis","Owner","https://www.linkedin.com/search/results/people/?keywords=Greenleaf Air Wesley Chapel","https://www.google.com/search?q=Greenleaf+Air+Wesley+Chapel","120","6 PM","Voicemail","Suburban operator · storm-prone area"
"Hayman Residential","Tampa","Chris","COO","https://www.linkedin.com/search/results/people/?keywords=Hayman Residential Tampa","https://www.google.com/search?q=Hayman+Residential+Tampa","780","5:30 PM","On-call rotation but slow","780 reviews · slow night response = $$$ leak"
"Honest Cooling and Heating","Tampa","Mark","Owner","https://www.linkedin.com/search/results/people/?keywords=Honest Cooling Heating Tampa","https://www.google.com/search?q=Honest+Cooling+and+Heating+Tampa","220","7 PM","After-hours line goes to voicemail","Solid mid-tier · 220 reviews"
"Ice Cold Air Discount Auto Repair (HVAC arm)","Tampa","Ed","Owner","https://www.linkedin.com/search/results/people/?keywords=Ice Cold Air Tampa","https://www.google.com/search?q=Ice+Cold+Air+Tampa","300","6 PM","Voicemail","Cross-pollination opportunity · auto + HVAC"
"IERNA's Heating & Cooling","Lutz","Joe","Owner","https://www.linkedin.com/search/results/people/?keywords=IERNA Heating Cooling Lutz","https://www.google.com/search?q=IERNAs+Heating+Cooling+Lutz","920","5 PM","Live dispatcher Mon-Sat","920 reviews · weekend coverage is the gap"
"Karle Heating & Air","Riverview","Tom","Owner","https://www.linkedin.com/search/results/people/?keywords=Karle Heating Air Riverview","https://www.google.com/search?q=Karle+Heating+Air+Riverview","85","5 PM","Voicemail","Smaller op · ideal free-build slot"
"Kron West","St. Petersburg","Bruce","President","https://www.linkedin.com/search/results/people/?keywords=Kron West St Petersburg","https://www.google.com/search?q=Kron+West+St+Petersburg","290","5:30 PM","After-hours rotation","Strong reputation · perfect testimonial source"
